index,name,maps,type,website,imgpath,desc
1,Musée des Arts et Métiers,https://goo.gl/maps/R5R3cznmhDBYnuRM7,museum,,../assets/points_of_interest/paris/museums/Musee_des_Arts_et_Metiers.jpg,"The Musée des Arts et Métiers is an industrial design museum in Paris that houses the collection of the Conservatoire national des arts et métiers, which was founded in 1794 as a repository for the preservation of scientific instruments and inventions."
2,Jeu De Paume,https://g.page/jeudepaumeparis?share,museum,,../assets/points_of_interest/paris/museums/JeuDePaume.jpg,"Jeu de paume, nowadays known as real tennis, (US) court tennis or (in France) courte paume, is a ball-and-court game that originated in France.  It was an indoor precursor of tennis played without racquets, though these were eventually introduced. It is a former Olympic sport, and has the oldest ongoing annual world championship in sport, first established over 250 years ago. The term also refers to the court on which the game is played and its building, which in the 17th century was sometimes converted into a theatre."
3,Bourdelle Museum,https://goo.gl/maps/yi44XsoSCoBFAyPZ6,museum,,../assets/points_of_interest/paris/museums/BourdelleMuseum.jpg,"The Musée Bourdelle is an art museum located at 18, rue Antoine Bourdelle, in the 15th arrondissement of Paris, France, located in the old studio of French sculptor Antoine Bourdelle. The museum is open daily, except Mondays. Admission to the permanent collections is free."
4,Louvre Museum,https://goo.gl/maps/m1ZR3mFcQGsBuNhbA,museum,,../assets/points_of_interest/paris/museums/LouvreMuseum.jpg,"The Louvre, or the Louvre Museum, is the world's most-visited museum, and a historic landmark in Paris, France. It is the home of some of the best-known works of art, including the Mona Lisa and the Venus de Milo."
5,Musée d'Orsay,https://goo.gl/maps/WM7y1PrgHDT7uSsK9,museum,,../assets/points_of_interest/paris/museums/MuseedOrsay.jpg,"The Musée d'Orsay is a museum in Paris, France, on the Left Bank of the Seine. It is housed in the former Gare d'Orsay, a Beaux-Arts railway station built between 1898 and 1900. The museum holds mainly French art dating from 1848 to 1914, including paintings, sculptures, furniture, and photography."
6,Musée de l'Orangerie,https://goo.gl/maps/RfftUaNBbqRCGpvp6,museum,,../assets/points_of_interest/paris/museums/MuseedeOrangerie.jpg,The Musée de l'Orangerie is an art gallery of impressionist and post-impressionist paintings located in the west corner of the Tuileries Gardens next to the Place de la Concorde in Paris.
7,Musée Marmottan Monet,https://goo.gl/maps/TebdE6DDar1KYcTj8,museum,,../assets/points_of_interest/paris/museums/musee-marmottan-monet.jpg,"Musée Marmottan Monet features over three hundred Impressionist and Post-Impressionist paintings by Claude Monet, including his 1872 Impression, Sunrise. Marmottan Museum's fame is the result of a donation in 1966 by Michel Monet, Claude's second son and only heir."
8,Galeries Nationales du Grand Palais,https://goo.gl/maps/kAD1UFU3E31zDVK6A,museum,,../assets/points_of_interest/paris/museums/GaleriesNationalesd GrandPalais.jpg,"The galeries nationales du Grand Palais are museum spaces located in the Grand Palais in the 8th arrondissement of Paris. They serve as home to major art exhibits and cultural events programmed by the Réunion des musées nationaux et du Grand Palais des Champs-Élysées, and are open six days a week."
9,Eiffel Tower,https://goo.gl/maps/HJSHKeuo9F34avww9,out,,../assets/points_of_interest/paris/out_places/eiffel-tower.jpg,"The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower."
10,Arc de Triomphe,https://goo.gl/maps/YrNdyaepXkKZ1PjJ8,out,,../assets/points_of_interest/paris/out_places/Arc-de-Triomphe.jpg,"The Arc de Triomphe de l'Étoile is one of the most famous monuments in Paris, France, standing at the western end of the Champs-Élysées at the centre of Place Charles de Gaulle, formerly named Place de l'Étoile—the étoile or ""star"" of the juncture formed by its twelve radiating avenues."
11,Montmartre,https://goo.gl/maps/syCrNmXsg9pGkxP1A,out,,../assets/points_of_interest/paris/out_places/Montmartre.jpg,"Montmartre is a large hill in Paris's 18th arrondissement. It is 130 m high and gives its name to the surrounding district, part of the Right Bank in the northern section of the city."
12,Montparnasse Tower,https://goo.gl/maps/dYg3VmDM96mkHD4X9,out,,../assets/points_of_interest/paris/out_places/MontparnasseTower.jpg,"Tour Maine-Montparnasse, also commonly named Tour Montparnasse, is a 210-metre office skyscraper located in the Montparnasse area of Paris, France. Constructed from 1969 to 1973, it was the tallest skyscraper in France until 2011, when it was surpassed by the 231-metre Tour First."
13,Place de la Concorde,https://goo.gl/maps/uvkX6ca6fSrtYyaPA,out,,../assets/points_of_interest/paris/out_places/PlacedelaConcorde.jpg,"The Place de la Concorde is one of the major public squares in Paris, France. Measuring 7.6 ha in area, it is the largest square in the French capital. It is located in the city's eighth arrondissement, at the eastern end of the Champs-Élysées."
14,Place de la Bastille,https://goo.gl/maps/7QaWHNs5WNDnmCYf6,out,,../assets/points_of_interest/paris/out_places/PlacedeBastille.jpg,"The Place de la Bastille is a square in Paris where the Bastille prison once stood, until the storming of the Bastille and its subsequent physical destruction between 14 July 1789 and 14 July 1790 during the French Revolution. No vestige of the prison remains."
15,Pont Alexandre III,https://goo.gl/maps/XYDRDRysc5ywpEiW8,out,,../assets/points_of_interest/paris/out_places/Pont_Alexandre_III.jpg,"The Pont Alexandre III is a deck arch bridge that spans the Seine in Paris. It connects the Champs-Élysées quarter with those of the Invalides and Eiffel Tower. The bridge is widely regarded as the most ornate, extravagant bridge in the city. It has been classified as a French monument historique since 1975."
16,Etretat Beach,https://goo.gl/maps/M3JSfXVVxf87suev5,beach,,../assets/points_of_interest/paris/beach/EtretatBeach.jpg,"Do you prefer pebbles instead of sandy beaches? Well, one of those nearby Paris beaches that are renowned for their fascinating cliffs, the Etretat Beach doesn't need any introduction, if you're in Paris. One can not only embrace some of the finest views of landscapes from the beach but can also go for a calming swim in the channel."
17,Deauville Beach,https://goo.gl/maps/JbbP23Gs86wsjZ4CA,beach,,../assets/points_of_interest/paris/beach/deauville.jpg,"Another of those Paris beaches that are located in close proximity to the French capital, the Deauville Beach is perhaps much easier to visit when compared to other beaches in and around the region."
18,Omaha Beach,https://goo.gl/maps/VeSjEKpEfsqYVX7z9,beach,,../assets/points_of_interest/paris/beach/OmahaBeach.jpg,"Another of those beaches in France located in close proximity to Paris, Omaha Beach has to be one of the top places to visit around the French capital if longing for a fun-filled day on the beach. The beach boasts of its picturesque views and has shallow hills all around. One can visit here by taking a train from Gare Saint-Lazare to Bayeux and then take a taxi to the beach."
19,Granville Beach,https://goo.gl/maps/9VBPTYDxuyHPFDhm9,beach,,../assets/points_of_interest/paris/beach/GranvilleBeach.jpeg,"Worried about finding beaches near Paris? Well, how about planning a visit to the Plages in Paris? Distance doesn't come into play when you think of the Plages. Synthetic beaches that have been constructed along the Seine River, the place is perfect to enjoy a happening time in the heart of Paris."
20,Tuileries Garden,https://goo.gl/maps/xdztumQvACQLAJM49,nature,,../assets/points_of_interest/paris/nature/jardin-des-tuileries.jpg,"The Tuileries Garden is a public garden located between the Louvre and the Place de la Concorde in the 1st arrondissement of Paris, France. Created by Catherine de' Medici as the garden of the Tuileries Palace in 1564, it was eventually opened to the public in 1667 and became a public park after the French Revolution."
21,Seine River,https://goo.gl/maps/kobNuN3g2pY3Jze68,nature,,../assets/points_of_interest/paris/nature/SeineRiver.jpg,"The Seine is a 777-kilometre-long river in northern France. Its drainage basin is in the Paris Basin covering most of northern France. It rises at Source-Seine, 30 kilometres northwest of Dijon in northeastern France in the Langres plateau, flowing through Paris and into the English Channel at Le Havre."
22,Parc des Buttes-Chaumont,https://goo.gl/maps/UGL1UZ4FqUC47f1s6,nature,,../assets/points_of_interest/paris/nature/ParcdesButtes-Chaumont.jpg,"The Parc des Buttes Chaumont is a public park situated in northeastern Paris, France, in the 19th arrondissement. Occupying 24.7 hectares, it is the fifth-largest park in Paris, after the Bois de Vincennes, Bois de Boulogne, Parc de la Villette and Tuileries Garden."
23,Montmorency forest,https://goo.gl/maps/Dzs6XxoJ3vrDjLyH9,nature,,../assets/points_of_interest/paris/nature/Montmorencyforest.jpg,"Twenty or so kilometres to the north of Paris, Montmorency Forest is the ideal place for a peaceful excursion. At the heart of the forest and its majestic trees, let your mind wander as you recharge your batteries, at one with nature."
24,Boucle de Nemours,https://goo.gl/maps/aTVQnPBdSWS1gX2g7,nature,,../assets/points_of_interest/paris/nature/BoucledeNemours.jpg,"In Nemours, discover the landscapes during hikes or take part in sporting activities. If you are an athletic person, start your walk from the Bois du Crot du Loup and walk along the paths of the Nemours national forest. Between rocky landscapes and sandy sea, you will have the opportunity to discover several loop routes, from 4 km to 8 km. You will walk for about 2 hours."
25,Basilique du Sacré-Coeur,https://goo.gl/maps/VnypHkkMhYj2q4DAA,religion,,../assets/points_of_interest/paris/religion/BasiliquedSacreCoeur.jpg,"The Basilica of the Sacred Heart of Paris, commonly known as Sacré-Cœur Basilica and often simply Sacré-Cœur, is a Roman Catholic church and minor basilica in Paris, France, dedicated to the Sacred Heart of Jesus. Sacré-Cœur Basilica is located at the summit of the butte Montmartre, the highest point in the city."
26,Eglise Saint-Sulpice,https://goo.gl/maps/UFqwE8HHFNeKwipQA,religion,,../assets/points_of_interest/paris/religion/EgliseSaintSulpice.jpg,"The Church of Saint-Sulpice is a Roman Catholic church in Paris, France, on the east side of Place Saint-Sulpice, in the Latin Quarter of the 6th arrondissement. It is only slightly smaller than Notre-Dame and thus the second-largest church in the city. It is dedicated to Sulpitius the Pious."
27,Sainte-Chapelle,https://goo.gl/maps/oVy2dJPFYgFDCakEA,religion,,../assets/points_of_interest/paris/religion/Sainte_Chapelle_.jpg,"The Sainte-Chapelle is a royal chapel in the Gothic style, within the medieval Palais de la Cité, the residence of the Kings of France until the 14th century, on the Île de la Cité in the River Seine in Paris, France. Construction began sometime after 1238 and the chapel was consecrated on 26 April 1248."
28,Cathédrale Notre-Dame,https://goo.gl/maps/ohe1Cv7mB3uDuunY7,religion,,../assets/points_of_interest/paris/religion/Cathedrale_Notre-Dame_de_Paris.jpg,"Notre-Dame de Paris, referred to simply as Notre-Dame, is a medieval Catholic cathedral on the Île de la Cité, in the 4th arrondissement of Paris. The cathedral, dedicated to the Virgin Mary, is considered one of the finest examples of French Gothic architecture."
